asin,name,overall_rating,review_count,summary,merchant
B002ZVK88G,MYSORE-SANDAL-Mysore-Sandal-Talcum,3.6,20, The mysore sandal talc allows you to decide the size of the hole you want to have on the bottle . The fragrance last longer than the ponds sandalwood talc even though out the day!,MYSORE
B003OPTXW4,Himalaya-4003F-Baby-Lotion-400ml,3.3,20, Very Nice Product . It is very light weighted and quickly gets absorbed so that you don't feel creamy when you get out using this . It gives a smooth feeling to our skin and will not irritated your skin at all .,Himalaya
B008YD5500,Himalaya-Baby-Shampoo-400-ml,3.5,20," The one I bought at local store is very thick,with almost gel like consistency, doesn't even spill out even if the cap is open and lying down,have to really squeeze it out . The one she bought from Amazon is so watery and runny. Spills out in an instant without even squeezing bottle. The strength of this shampoo was so mild. No skin irritation or any other allergic reactions .",Himalaya
B008YD57OO,Himalaya-4004G-Baby-Powder-400g,2.4,20," Out of 2 baby powder packs I ordered, quanity of one pack is genuinely less than the other one . It's strange. Products are genuine though . This product fake,not a Himalaya Product .",Himalaya
B00AI87X0O,Tata-Tea-Premium-North-1kg,3.7,20," N The product is good but paid more than MRP . MRP in the packet is 365/- whereas Amazon is showing as 400 . This is not correct Quality is just ok, don't expect Tata tea gold,and tajmahal type taste and quality .",Tata
B00BV5FHKG,Titan-Karishma-Analog-Black-NK1578SM04,4.3,20," The Fat Needles shown here are missing, and the Dial is quite different from the image shown on Amazon India (Probably the item I received was a Different model) - Never mind, I will get the Dial & Needles changed in a Registered Titan workshop .",Titan
B00D23M0W8,Britannia-Good-Day-Cashew-200g,4.7,20, Very good good good Tasty Good Ok Very good Good . Ok very good good . Good is not good enough . Tasty good is good . Ok is very good . Very good .,Britannia
B00DAHMXO6,Titan-Karishma-Analog-Champagne-Watch-NK1580YL05,4.2,20," Good Classic leather..Glossy gold dial.. awesome finishing!! Product is tooo goood and eye catching! Gifted it to my father, father in law and my father’s elder brother .. they loved it to the core!",Titan
B00E1GWUXO,Fastrack-Economy-2013-Analog-Watch-NK3099SP05,3.2,20," The colour shown on website  is  also  different from  real one . Don't buy this watch, the time setting stick is jammed. watch  dial  is very  heavy  according  to straps .",Fastrack
B00GLDPBJK,Tata-Tea-Gold-500g,3.4,20," After trying almost 10 different brands of tea, I have found the one I like . It is not just too strong tea, it tastes good . Most in my family like it and this is the one we are going to use from now on along with Red Label .",Tata
B00GX9TS6O,Paper-Boat-Aamras-Juice-250ml,4,20," The alphonso aam variety from the same brand has been unavailable for quite many months now, so I said to myself ""What the heck!"" and bought this instead . Taste resembles that there is 45% mango pulp in solution .",Paper
B00H5NMNXC,Himalaya-Moisturizing-Aloe-Vera-200ml,3.6,20, It contains ammonia guyz. It's very dangerous. I bought it and used it one day one the next day morning my face swelled. But my skin is smooth and its glowing but I had numerous side effects. They will sell their products but people health could completely damaged .,Himalaya
B00ISNVQMW,Titan-Octane-Analog-Silver-Watch-NK1650BM03,5,20," Premium and genuine product at this price point . Must buy if you're looking for a premium and genuine time piece . After HMT, titan is first choice for all young generations .",Titan
B00JHN0OMU,Streax-Hair-Serum-Gloss-100ml,3.8,20, This is not the same product as advertised . I received a Steax Vitariche gloss serum instead of Streax pro Vitagloss . Called CS to get the refund and since i had closed my bank account since the order was placed i wanted the refund to come through amazon pay . Finally decided to give away the product than to deal with Amazon for a refund .,Streax
B00MGGLZUU,Mysore-Sandal-Jasmine-Rose-Soap,3.2,20, Mysore sandal smell do not last for a minute also. Don't buy its a duplicate of Moti Sandal . Don't waste your money. Seals were broken .,Mysore
B00MIFIKO8,Fastrack-Casual-Analog-White-Watch-NK3120SL01,4.4,20, It said that it was water resistant (50m) but no it couldn't resist 3 ft deep water . Water entered the watch and everyday it becomes vapour and blocks the view now i cannot check the time properly .,Fastrack
B00MIFIYVM,Fastrack-Casual-Analog-Grey-Watch-NK3121SL02,4.7,20," Watch is not that small, thin or light weight but it will not feel bulky in your hands . Simple and Superb can match on any type of dress you wear .",Fastrack
B00MIFJMZE,Fastrack-Casual-Analog-Blue-Watch-NK3124SL02,4.1,20, Steel is good quality. Steel is Good quality. It's battery is awesome  and strap is genuine leather. But not waterproof strap. Please avoid from water because it may be damage after a long time .,Fastrack
B00N469044,Mysore-Sandal-Jasmine-Rose-Soap,3.2,20, Mysore sandal smell do not last for a minute also. Don't buy its a duplicate of Moti Sandal . Don't waste your money. Seals were broken .,Mysore
B00N8QUNQY,Society-Tea-Masala-Jar-250g,3.3,20, Society Masala tea is sold in India and exported abroad is totally different . Amazon does not accept return of food items . The product comes in a plastic water bottle which is very cheap and the smell of plastic is there in the tea also .,Society
B00NLAUEDO,Fastrack-Analog-Womens-6150SM04-NK6150SM04,4.5,20, Dial is in medium size so it is very good for thin wrist as a big dial could cover the complete upper portion of your wrist . Amazing watch for affordable price . Good for daily use .,Fastrack
B00PVUAJDW,Godrej-Security-Solutions-SEEC9060-Electronic,3.2,20," The manual provided is obsolete, and the instructions do not match up with this product . If you want to program the safe, you have to figure it out on your own . There are no solutions posted online either . Customer service personnel were not helpful either .",Godrej
B00QGEN6C8,Himalaya-Gift-Pack,4.3,20," Himalayan Babycare Gift Basket is a Perfect Gift for Baby Shower, Birthday Gift . Package included: - 11 item included(1) 50ml - baby cream(2) 100ml - Baby Massage Oil(3) 200g baby powder(4) 20 grams diaper rash cream(5) 72 pc Baby Wipes(6) 100m Baby Shampoo(7) 125g X 2pcs Baby Soap(8) 100mm Baby Lotion(9) 200ml Baby Bathgentle(10) 100 ml Baby Cream(11) Plastic basket with handle .",Himalaya
B00R60PBTC,Patanjali-Kanti-Natural-Cleanser-Shampoo,4.3,20," The shampoo do has natural ingredients like Amla, Hibiscus etc. it is affordable too . However, it is HIGHLY INEFFECTIVE in controlling hairfall or dandruff . Also, you need to use more amount of shampoo for excessively oily or dirty hair .",Patanjali
B00RGE4OUA,Britannia-Nice-Time-150g,4.3,20," Biscuits is dust Flavour very good.. difficult to resist... I have practically grown up eating this sugar coated delight, never fails for me. Mast hain boss, one of my favs. These are made of flour so easy to digest. For sure recommended.",Britannia
B00RLHKJCO,Indiana-Frutti-Cherries-Frooti-Multicolor,5,6," It comes with a delicious taste,you can consume it directly or you can decorate cake with these delicious candies . It's a vegetarian products , we can also consumed it directly . Best tooti frooti I have bought till now .",Indiana
B00RV35ABS,Streax-Professional-Hold-Funkey-Colour,3.7,20," Gurl, don't buy this if you don't want to bleach your hair . My hair used to be a really dark brown, so it's black now . Not even a tint of purple .",Streax
B00RV366NE,Streax-Professional-Hold-Funkey-Colour,3.8,10, The blue came out great! I have dark brown hair and bleached it twice (with volume 30 developer) before applying the colour . Left the colour on for 45-60 minutes . My hair (which felt very rough after bleaching) became much softer after rinsing off .,Streax
B00S9BQP3S,Britannia-Marie-Gold-200g,3,20, The package had a whole in them had to bin these as came part of our Pantry order and couldn't be bothered to follow up with the redundant customer care . Kachha maida (uncooked wheat flour) tastes better than this .,Britannia
B00S9BSA0E,NutriChoice-Digestives-grain-Pack-200g,4.33,12, Since these are high in fiber they have even helped me a lot in providing relief from constipation problems due to my prior poor diet choices . I am happy for now and would definitely recommend these biscuits for people suffering from these kind of ailments as an food of choice .,NutriChoice
B00ULPQTXQ,Titan-Analog-Gold-Dial-Watch-NK1650YM04,4.6,20, It's worth the price ₹1500/- and probably a steal deal to go with :) Cost is 15-20% higher than factory price I believe..But quality of watch is superior.. Worth it nice and heavy look .,Titan
